Id,Source,Nucleotide Accession,Start,Stop,Strand,Protein,Protein Name,Organism,Strain,Assembly,len
461319004,INSDC,BK059154.1,32578,37014,+,DAE92712.1,Exonuclease V,Siphoviridae sp. gcode 4,,,4437
1470261,RefSeq,NC_012560.1,5194329,5198540,-,WP_012703556.1,glycosyl hydrolase family 28-related protein,Azotobacter vinelandii DJ,DJ; ATCC BAA-1303,GCF_000021045.1,4212
367225871,RefSeq,NC_055882.1,54751,62421,-,YP_010111554.1,hypothetical protein,uncultured phage cr116_1,,GCF_015161075.1,7671
243853893,INSDC,MK620894.1,94360,100695,-,QBZ72050.1,tailspike protein,Streptomyces phage Kradal,,GCA_004799925.1,6336
147770430,RefSeq,NC_034383.1,15778,19890,-,YP_009361369.1,tail fiber protein,Pacmanvirus A23,A23,GCF_002114025.1,4113
122910119,RefSeq,NZ_FNHZ01000001.1,682639,686436,+,WP_074520838.1,helicase-exonuclease AddAB subunit AddA,Lachnospira pectinoschiza,M83,GCF_900103815.1,3798
331502488,INSDC,JABWCA010000004.1,13454,17167,-,NUM69362.1,UvrD-helicase domain-containing protein,Ignavibacteriaceae bacterium,,GCA_013359345.1,3714
375045879,RefSeq,NZ_JADNGH010000003.1,156311,159964,+,WP_195367250.1,helicase-exonuclease AddAB subunit AddA,Lachnospira eligens,1001713B170214_170313_E6,GCF_015553285.1,3654
475730693,INSDC,MZ643272.1,114667,118473,-,QYC51968.1,hypothetical protein,Staphylococcus phage vB_Sau-RP15,,GCA_019466685.1,3807
173196802,INSDC,BDSW01000143.1,7079,10627,+,GBD90712.1,ATP-dependent helicase/nuclease subunit A,bacterium BMS3Abin04,,GCA_002898175.1,3549
170992213,RefSeq,NZ_PEKV01000005.1,241623,245105,-,WP_290810041.1,double-strand break repair helicase AddA,Ferrovibrio sp.,,GCF_002796975.1,3483
206481848,INSDC,DNXO01000085.1,42327,45800,+,HBK07207.1,double-strand break repair helicase AddA,Acetobacteraceae bacterium,,GCA_003506895.1,3474
166956145,INSDC,PBFH01000004.1,6387,9857,-,MBI76361.1,double-strand break repair helicase AddA,Rhodospirillaceae bacterium,,GCA_002719885.1,3471
192891053,INSDC,QFPJ01000013.1,28035,31520,+,PZQ22537.1,double-strand break repair helicase AddA,Sphingopyxis macrogoltabida,,GCA_003241685.1,3486
287584837,RefSeq,NC_014414.1,541380,544838,-,WP_158305815.1,double-strand break repair helicase AddA,Parvularcula bermudensis HTCC2503,HTCC2503,GCF_000152825.2,3459
168977636,INSDC,PDPT01000002.1,15885,19376,+,PID63206.1,hypothetical protein,Ignavibacteriota bacterium,,GCA_002746605.1,3492
180248772,INSDC,PTJZ01000014.1,9393,12881,-,PPR09180.1,ATP-dependent DNA helicase PcrA,Alphaproteobacteria bacterium MarineAlpha11_Bin1,,GCA_002937455.1,3489
161515359,INSDC,NVTL01000047.1,10546,14010,+,PCI39015.1,double-strand break repair helicase AddA,Rhodospirillaceae bacterium,,GCA_002401565.1,3465
179895107,INSDC,NZDE01000012.1,175085,178525,+,MAH05521.1,double-strand break repair helicase AddA,Alphaproteobacteria bacterium,,GCA_002690045.1,3441
237798416,RefSeq,NZ_JACIGF010000003.1,117293,120730,-,WP_165878753.1,double-strand break repair helicase AddA,Rhodothalassium salexigens DSM 2132,DSM 2132,GCF_014197775.1,3438
812751762,RefSeq,NZ_DAINNU010000025.1,13423,16857,+,WP_333570011.1,double-strand break repair helicase AddA,Sphingorhabdus sp.,,GCF_036735685.1,3435
139924397,INSDC,FUZS01000009.1,13805,17254,+,SKC46944.1,"DNA helicase/exodeoxyribonuclease V, subunit A",[Eubacterium] yurii,ATCC 43714,GCA_900167215.1,3450
165501723,INSDC,PAAR01000007.1,18686,22135,-,MAS86657.1,double-strand break repair helicase AddA,Micavibrio sp.,,GCA_002699085.1,3450
205784939,INSDC,DNMS01000263.1,1975,5424,-,HBC08224.1,double-strand break repair helicase AddA,Rhodospirillaceae bacterium,,GCA_003488105.1,3450
260584267,RefSeq,NZ_VJXW01000004.1,118861,122310,-,WP_144015834.1,helicase-exonuclease AddAB subunit AddA,Criibacterium bergeronii,CCRI-24246,GCF_007097085.1,3450
166133761,INSDC,PALX01000025.1,7315,10821,-,MAY99869.1,double-strand break repair helicase AddA,Micavibrio sp.,,GCA_002710775.1,3507
152980630,RefSeq,NZ_FYEH01000004.1,248910,252443,+,WP_165769486.1,double-strand break repair helicase AddA,Arboricoccus pini,B29T1,GCF_900187945.1,3534
169880367,INSDC,PCUD01000143.1,32524,36054,+,PIQ08272.1,hypothetical protein,Ignavibacteriales bacterium CG18_big_fil_WC_8_21_14_2_50_31_20,,GCA_002786785.1,3531
120840292,INSDC,MELN01000032.1,10826,14353,+,OFW59664.1,hypothetical protein,Actinobacteria bacterium RBG_16_64_13,,GCA_001768675.1,3528
235298704,INSDC,SHNJ01000035.1,30966,34502,+,TAH32265.1,double-strand break repair helicase AddA,Alphaproteobacteria bacterium,,GCA_004295055.1,3537
150279233,RefSeq,NZ_JOPB01000010.1,29465,33028,+,WP_086632539.1,double-strand break repair helicase AddA,Commensalibacter intestini,DmL_052,GCF_002153535.1,3564
362516718,INSDC,MT708547.1,107156,110695,-,QOE32401.1,tail fiber protein,Klebsiella phage Muenster,,GCA_014857015.1,3540
210725278,INSDC,QZKB01000050.1,19024,22560,+,RJP70667.1,hypothetical protein,Ignavibacteriales bacterium,,GCA_003599415.1,3537
534812577,RefSeq,NZ_JALCZH010000001.1,775542,779060,-,WP_242351895.1,right-handed parallel beta-helix repeat-containing protein,Agromyces atrinae,S5-G40,GCF_022690625.1,3519
350541619,RefSeq,NZ_JACHOB010000001.1,76220,79738,-,WP_183814765.1,double-strand break repair helicase AddA,Parvularcula dongshanensis,DSM 102850,GCF_014199615.1,3519
24805893,RefSeq,NC_016026.1,120980,124492,-,WP_014101691.1,double-strand break repair helicase AddA,Micavibrio aeruginosavorus ARL-13,ARL-13,GCF_000226315.1,3513
215455212,INSDC,RFLP01000289.1,737,4246,+,RMD48509.1,hypothetical protein,Ignavibacteria bacterium,,GCA_003693835.1,3510
205482709,INSDC,DNGD01000111.1,692,4210,-,HAX91347.1,double-strand break repair helicase AddA,Rhodospirillaceae bacterium,,GCA_003486725.1,3519
881307312,INSDC,JBFLYW010000010.1,41406,44933,-,MEW6507494.1,UvrD-helicase domain-containing protein,Bacteroidota bacterium,,GCA_040756515.1,3528
171527417,INSDC,BEIQ01000001.1,1145655,1149179,+,GBD43594.1,ATP-dependent helicase/nuclease subunit A,bacterium HR40,,GCA_002898275.1,3525
165488955,INSDC,PAAX01000010.1,41007,44528,-,MAT56918.1,hypothetical protein,Ignavibacteriota bacterium,,GCA_002698995.1,3522
451035252,RefSeq,NZ_CP073089.1,2248264,2251392,-,WP_211977790.1,ATP-dependent DNA helicase,Brevibacterium sp. W7.2,W7.2,GCF_018137945.1,3129
217138430,INSDC,MK089780.1,35199,37754,+,AYR04394.1,"tail spike protein, structural depolymerase",Acinetobacter phage vB_AbaP_APK14,,GCA_005075185.1,2556
32646562,RefSeq,NC_021337.1,2951,5506,-,YP_008060136.1,tail fiber protein,Acinetobacter phage AB3,,GCF_000908675.1,2556
124194959,INSDC,MHMA01000019.1,11701,14241,+,OGZ20273.1,hypothetical protein,Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_01_FULL_43_31,,GCA_001819235.1,2541
152934728,RefSeq,NC_047832.1,30702,33266,+,YP_009790824.1,tail fiber protein,Pasteurella phage PHB01,,GCF_002625125.1,2565
21075853,RefSeq,NC_019454.1,37042,39606,+,YP_007002901.1,EPS depolymerase,Pantoea phage LIMElight,,GCF_000900695.1,2565
257951927,RefSeq,NC_048767.1,23465,26023,+,YP_009845963.1,EPS depolymerase,Pantoea phage vB_PagM_PSKM,,GCF_006863475.1,2559
227534466,RefSeq,NC_055784.1,56249,58789,-,YP_010100757.1,tail fiber protein,Vibrio virus vB_VspP_SBP1,,GCF_004194215.1,2541
175818564,RefSeq,NZ_MDBX01000057.1,69596,72103,-,WP_102304202.1,phage tail protein,Vibrio cyclitrophicus,10N.222.45.E8,GCF_002875015.1,2508
540563872,RefSeq,NZ_QKYN01000079.1,12520,15969,-,WP_243639509.1,ATP-dependent DNA helicase,Streptacidiphilus pinicola,MMS16-CNU450,GCF_003258295.1,3450
113428772,INSDC,KX160207.1,28791,31289,+,ANT43482.1,baseplate protein,Lactococcus phage 53801,,GCA_002611305.1,2499
336237886,INSDC,MT682706.1,29009,31525,-,QLF80548.1,hypothetical protein,Escherichia phage vB_EcoS_FP,,GCA_013426635.1,2517
125829071,RefSeq,NC_047772.1,34114,36645,+,YP_009786838.1,tail protein,Klebsiella phage vB_KpnP_KpV767,,GCF_002612265.1,2532
290258015,INSDC,LR594659.1,5770617,5773142,-,VTU39258.1,ATP-dependent DNA helicase DinG,Variovorax sp. PBL-H6,,GCA_901827155.1,2526
312459902,INSDC,MT259468.1,29952,32522,+,QIW89971.1,hypothetical protein,Aeromonas phage PS,,GCA_012360715.1,2571
454685394,INSDC,MZ043613.1,44386,47001,+,QVW53860.1,tailspike protein II,Acinetobacter phage TaPaz,,GCA_018726295.1,2616
281053925,RefSeq,NZ_VUMT01000002.1,60280,62886,-,WP_154516428.1,right-handed parallel beta-helix repeat-containing protein,Velocimicrobium porci,WCA-693-APC-MOT-I,GCF_009696045.1,2607
315964111,INSDC,JAAYVD010000083.1,47458,50064,+,NLI77027.1,PD-(D/E)XK nuclease family protein,Candidatus Rifleibacteriota bacterium,,GCA_012517355.1,2607
186600575,INSDC,MF418016.1,83283,85898,+,AWD93049.1,tailspike protein,Bacillus phage vB_BceM-HSE3,,GCA_003288735.1,2616
208096334,INSDC,DPWY01000010.1,41074,43719,-,HCL78482.1,hypothetical protein,Synergistaceae bacterium,,GCA_003527665.1,2646
41895065,INSDC,CBFQ010000003.1,26596,29712,-,CDC60784.1,aTP-dependent helicase/nuclease subunit A,Clostridium sp. CAG:417,,GCA_000432835.1,3117
209375520,INSDC,MH719082.1,94616,97237,+,AXY86126.1,putative colanic acid-degrading protein,Escherichia phage vB_EcoM_IME392,,GCA_003575825.1,2622
183325007,RefSeq,NZ_PGJH01000013.1,87657,90257,-,WP_106485289.1,exodeoxyribonuclease VIII,Escherichia coli,sc14-205,GCF_003008995.1,2601
22564573,RefSeq,NZ_AEXN01000014.1,53065,55647,-,WP_004816924.1,ATP-dependent DNA helicase,Anaerococcus hydrogenalis ACS-025-V-Sch4,ACS-025-V-Sch4,GCF_000191745.1,2583
149586378,RefSeq,NZ_NGFN01000071.1,19297,21876,+,WP_086601255.1,right-handed parallel beta-helix repeat-containing protein,Streptomyces swartbergensis,HMC13,GCF_002148965.1,2580
212937439,INSDC,QNCF01000008.1,16932,19508,-,RKY32448.1,hypothetical protein,Candidatus Omnitrophota bacterium,,GCA_003644395.1,2577
91764585,RefSeq,NC_029070.1,34085,36667,+,YP_009223415.1,colanic acid degradation,Cronobacter phage Dev-CD-23823,,GCF_001550485.1,2583
166785539,INSDC,PBBF01000039.1,12889,15483,+,MBH17639.1,hypothetical protein,Acidobacteriota bacterium,,GCA_002717745.1,2595
509673181,RefSeq,NZ_BBYR01000037.1,129090,131675,+,WP_231638142.1,ATP-dependent DNA helicase,Piscinibacter sakaiensis,201-F6,GCF_001293525.1,2586
261518411,INSDC,MK892540.1,12779,15364,+,QDP48862.1,hypothetical protein,Prokaryotic dsDNA virus sp.,,GCA_009652675.1,2586
321589861,INSDC,LR796537.1,5226,7655,-,CAB4150123.1,Intramolecular chaperone auto-processing domain containing protein,uncultured Caudovirales phage,,GCA_902986965.1,2430
203413027,INSDC,DMHF01000601.1,3480,5912,-,HAI14210.1,hypothetical protein,Phycisphaerales bacterium,,GCA_003450355.1,2433
192835998,INSDC,QFOD01000001.1,130413,132848,-,PZP36504.1,ATP-dependent DNA helicase,Roseateles depolymerans,,GCA_003241055.1,2436
845639072,INSDC,JBDKTK010000185.1,543,1130,-,MEN6465091.1,hypothetical protein,Syntrophaceae bacterium,,GCA_039680225.1,588
319937045,RefSeq,NZ_JABBPC010000034.1,42344,44767,+,WP_296901405.1,ATP-dependent DNA helicase,Polaromonas sp.,,GCF_012927485.1,2424
318007727,INSDC,JAAZKP010000054.1,4668,7082,+,NMA32521.1,hypothetical protein,Alphaproteobacteria bacterium,,GCA_012799735.1,2415
222205091,RefSeq,NZ_RHQO01000019.1,38580,40988,+,WP_125920266.1,hypothetical protein,Pseudomonas sp. p99-361,361,GCF_003935475.1,2409
289428667,INSDC,VXPR01000265.1,346,2754,+,MYE23781.1,hypothetical protein,Gammaproteobacteria bacterium,,GCA_009839405.1,2409
508847447,INSDC,JAUKJI010000006.1,120294,122708,+,MEE6940303.1,hypothetical protein,Escherichia coli O15:H16,P23_11,GCA_036436935.1,2415
321598788,INSDC,LR796706.1,7257,9677,+,CAB4160590.1,Pectate lyase superfamily protein,uncultured Caudovirales phage,,GCA_902988735.1,2421
40325972,RefSeq,NZ_AFSG01000016.1,92912,95332,+,WP_019714618.1,peptidase G2 autoproteolytic cleavage domain-containing protein,Bacillus spizizenii DV1-B-1,DV1-B-1,GCF_000245035.1,2421
321579605,INSDC,LR796359.1,5199,7616,-,CAB4138985.1,Pectate lyase superfamily protein,uncultured Caudovirales phage,,GCA_902985095.1,2418
46208108,RefSeq,NC_023005.1,35341,37785,+,YP_008873171.1,tail fiber protein,Pseudomonas phage PPpW-4,,GCF_000916695.1,2445
176261219,INSDC,MG592590.1,28534,31008,+,AUR96338.1,coil containing protein,Vibrio phage 1.223.O._10N.261.48.A9,,GCA_003929855.1,2475
461263664,INSDC,BK014751.1,6595,9069,+,DAD74065.1,hypothetical protein,Podoviridae sp. ctoyw14,,,2475
1286405,RefSeq,NC_004165.1,985,2703,-,NP_690635.1,DNA polymerase,Bacillus phage B103,,GCF_000840305.1,1719
262472243,RefSeq,NZ_MTSE01000016.1,17329,19896,+,WP_143436618.1,hypothetical protein,Hymenobacter crusticola,MIMBbqt21,GCF_002154225.1,2568
461318084,INSDC,BK016733.1,5394,7865,-,DAE55716.1,"Glucan 1,3-beta-glucosidase",Caudoviricetes sp.,,,2472
46619673,RefSeq,NC_023556.1,63836,66289,-,YP_009004783.1,hypothetical protein,Achromobacter phage JWAlpha,JWAlpha,GCF_000914775.1,2454
353895789,RefSeq,NZ_JAASTT010000023.1,55394,57844,+,WP_187133671.1,right-handed parallel beta-helix repeat-containing protein,Listeria portnoyi,FSL L7-1582,GCF_014322795.1,2451
462341335,INSDC,BK032718.1,8290,10737,-,DAF56525.1,Pectate lyase,Podoviridae sp. ctnWS46,,,2448
82343270,RefSeq,NC_028800.1,33363,35816,+,YP_009198668.1,tail protein,Klebsiella phage K5,,GCF_001500935.1,2454
196812,RefSeq,NC_074969.1,173602,176073,+,NP_690538.1,myosin heavy chain,Heliothis zea nudivirus,,GCF_002826785.1,2472
229683175,RefSeq,NZ_SCIN01000004.1,180301,182769,-,WP_128455794.1,tail fiber domain-containing protein,Sphingomonas sp. UV9,UV9,GCF_004101245.1,2469
466582426,INSDC,BK039300.1,18227,20689,-,DAX33266.1,Spherulation-specific family 4,Caudoviricetes sp.,,,2463
320903351,INSDC,DTYR01000083.1,217,2931,-,HID92774.1,ATP-dependent helicase,Candidatus Stahlbacteria bacterium,,GCA_012961765.1,2715
252675046,INSDC,VAZZ01000490.1,643,3654,+,TMJ35551.1,double-strand break repair protein AddB,Alphaproteobacteria bacterium,,GCA_005884715.1,3012
15373465,RefSeq,NC_014637.1,560881,563493,+,YP_003970136.1,DNA polymerase exonuclease subunit,Cafeteria roenbergensis virus BV-PW1,BV-PW1,GCF_000889395.1,2613
320649064,INSDC,DTSP01000206.1,1,3027,+,HIA81405.1,double-strand break repair helicase AddA,Rhodospirillales bacterium,,GCA_012965275.1,3027
62745544,INSDC,JNSF01000005.1,15078,18113,-,KGA09189.1,hypothetical protein,actinobacterium acAMD-5,,GCA_000754425.1,3036
279163376,RefSeq,NC_049472.1,96191,99220,+,YP_009884728.1,tail protein,Klebsiella phage UPM 2146,,GCF_009662955.1,3030
261524031,INSDC,MK892645.1,25086,28115,+,QDP54975.1,hypothetical protein,Prokaryotic dsDNA virus sp.,,GCA_009654975.1,3030
388310686,RefSeq,NZ_CP066744.1,1873974,1876967,+,WP_243660530.1,UvrD-helicase domain-containing protein,Miniphocaeibacter halophilus,AMB_01,GCF_016458825.1,2994
462644525,INSDC,BK035361.1,8280,11189,+,DAG95619.1,Baseplate component,Herelleviridae sp.,,,2910
397752640,RefSeq,NZ_JADMTJ010000006.1,102462,105368,-,WP_202192597.1,hypothetical protein,Bacteroides uniformis,D6t1_180914_D10,GCF_015561145.1,2907
246667759,RefSeq,NZ_SUIB01000038.1,5210,8113,+,WP_287300725.1,right-handed parallel beta-helix repeat-containing protein,Mesorhizobium sp.,,GCF_004962225.1,2904
321562471,INSDC,LR796139.1,31784,34699,-,CAB4120955.1,Pectate lyase superfamily protein,uncultured Caudovirales phage,,GCA_902982935.1,2916
104710445,INSDC,KQ965567.1,86924,89905,-,KXO16905.1,UvrD/REP helicase,Clostridiales bacterium KA00134,KA00134,GCA_001574395.1,2982
217837505,INSDC,MK072508.1,15871,18831,+,AYV86514.1,Uvr helicase/DDEDDh 3'-5' exonuclease,Sylvanvirus sp.,,GCA_003814245.1,2961
25443197,INSDC,CP003096.1,342711,345638,-,AER66057.1,hypothetical protein,Thermovirga lienii DSM 17291,DSM 17291,GCA_000233775.1,2928
552663206,INSDC,ON169962.1,80842,83883,+,UQS93039.1,hypothetical protein,Salmonella phage BRM 13313,,GCA_024751995.1,3042
41568848,INSDC,CAYV010000050.1,114556,117663,+,CCY79892.1,aTP-dependent helicase/nuclease subunit A,Mycoplasma sp. CAG:877,,GCA_000433455.1,3108
462600135,INSDC,BK016182.1,5963,9067,+,DAG00543.1,tail spike protein,Myoviridae sp. ctJ2i1,,,3105
165891921,INSDC,PAFV01000016.1,52665,55763,-,MAW39930.1,hypothetical protein,Kiritimatiellaceae bacterium,,GCA_002704365.1,3099
319043438,INSDC,DUVE01000053.1,2507,5614,-,HHX16819.1,UvrD-helicase domain-containing protein,Mollicutes bacterium,,GCA_012841205.1,3108
79132051,RefSeq,NZ_BAZW01000027.1,3709,6837,+,WP_062125756.1,exodeoxyribonuclease V subunit gamma,Geofilum rubicundum JCM 15548,JCM 15548,GCF_000974365.1,3129
402441333,INSDC,LR881137.1,113052,116171,+,CAD5240864.1,putative tailspike protein,Klebsiella phage vB_KqM-Westerburg,,GCA_904067395.1,3120
41785990,INSDC,CBDJ010000031.1,18955,22050,+,CDB28272.1,aTP-dependent helicase/nuclease subunit A,Firmicutes bacterium CAG:582,,GCA_000435515.1,3096
377803618,RefSeq,NC_070984.1,10077,13142,+,YP_010673306.1,tail fiber protein,Escherichia phage ES17,,GCF_009744855.1,3066
462341481,INSDC,BK032721.1,140120,143164,+,DAF56636.1,tail protein,Myoviridae sp. ctWb16,,,3045
34448241,RefSeq,NC_020813.1,2017275,2020319,-,WP_015470693.1,UvrD-helicase domain-containing protein,Pseudobdellovibrio exovorus JSS,JSS,GCF_000348725.1,3045
348136,RefSeq,NC_000117.1,727817,730897,-,WP_009872009.1,exodeoxyribonuclease V subunit beta,Chlamydia trachomatis D/UW-3/CX,D/UW-3/CX,GCF_000008725.1,3081
372171851,RefSeq,NZ_CP063849.1,4952986,4956072,+,WP_194446685.1,UvrD-helicase domain-containing protein,Paludibaculum fermentans,P105,GCF_015277775.1,3087
209264129,RefSeq,NZ_QXEV01000001.1,46193,49276,+,WP_119015228.1,UvrD-helicase domain-containing protein,Anaeroplasma bactoclasticum,ATCC 27112,GCF_003550015.1,3084
249168317,INSDC,BJFU01000002.1,42896,45976,+,GDX16844.1,ATP-dependent DNA helicase,Actinomycetes bacterium,,GCA_014190035.1,3081
236756229,RefSeq,NC_049455.1,68361,71255,+,YP_009882836.1,hypothetical protein,Shigella phage MK-13,,GCF_007859115.1,2895
145348909,RefSeq,NZ_BDJG01000022.1,35891,38599,+,WP_085894264.1,right-handed parallel beta-helix repeat-containing protein,Nocardioides sp. PD653,PD653,GCF_002117955.1,2709
410093496,INSDC,JAFGMT010000152.1,16705,20184,+,MBN1321389.1,UvrD-helicase domain-containing protein,Thermoleophilia bacterium,,GCA_016927415.1,3480
374583245,INSDC,MW015080.1,39418,42120,+,QPD06464.1,hypothetical protein,Synechococcus phage S-SRP01,,GCA_017654335.1,2703
209373669,INSDC,MH669274.1,64183,66900,-,AXY81356.1,tail fiber protein,Escherichia phage PD38,,GCA_003575305.1,2718
330861383,RefSeq,NZ_CP054666.1,786563,789286,-,WP_174893030.1,UvrD-helicase domain-containing protein,Mycoplasma sp. OR1901,OR1901,GCF_013348745.1,2724
110822902,RefSeq,NC_041885.1,28069,30786,+,YP_009596185.1,hypothetical protein,Pseudomonas phage VSW-3,,GCF_002610045.1,2718
237538965,RefSeq,NZ_SJOI01000001.1,5937384,5940074,+,WP_132927125.1,hypothetical protein,Sodalis ligni,159R,GCF_004346745.1,2691
217849347,INSDC,RJVO01000001.1,795553,798237,+,ROH93603.1,ATP-dependent DNA helicase,Stagnimonas aquatica,THS-13,GCA_003730135.1,2685
94627302,RefSeq,NZ_BSTO01000001.1,429443,432121,+,WP_055140302.1,ATP-dependent DNA helicase,Burkholderia plantarii,NBRC 104885,GCF_030269565.1,2679
124073625,RefSeq,NZ_FNDI01000021.1,49861,52548,+,WP_091785073.1,glycosyl hydrolase family 28-related protein,Paraburkholderia steynii,YR281,GCF_900100565.1,2688
31157255,RefSeq,NC_019423.1,68820,71510,+,YP_006990695.1,tail protein,Escherichia phage IME11,,GCF_000903115.1,2691
279533729,RefSeq,NZ_BLBC01000014.1,200822,203509,-,WP_155285517.1,right-handed parallel beta-helix repeat-containing protein,Capnocytophaga felis,KC07070,GCF_009684755.1,2688
258381697,RefSeq,NC_054969.1,65805,68531,-,YP_010079202.1,appendage,Achromobacter phage vB_AxyP_19-32_Axy24,,GCF_006964625.1,2727
34411365,RefSeq,NC_020849.1,69495,72347,-,YP_007674303.1,tail fiber protein,Pseudoalteromonas phage pYD6-A,pYD6-A,GCF_000906015.1,2853
12949864,RefSeq,NZ_JACDUL010000002.1,45446,48283,+,WP_011976416.1,UvrD-helicase domain-containing protein,Methanococcus maripaludis,C8,GCF_013760955.1,2838
330895108,INSDC,DUZC01000265.1,4150,6981,-,HIJ39253.1,double-strand break repair helicase AddA,Rhodospirillaceae bacterium,,GCA_013349735.1,2832
97622334,INSDC,LICH01000077.1,5848,8718,-,KRO88484.1,hypothetical protein,Rhodobacter sp. BACL10 MAG-120910-bin24,,GCA_001438235.1,2871
349767417,RefSeq,NZ_BNAJ01000015.1,27574,30462,+,WP_184115236.1,UvrD-helicase domain-containing protein,Deinococcus metalli,CGMCC 1.18437,GCF_014653235.1,2889
37087909,RefSeq,NC_021788.1,64976,67864,-,YP_008240640.1,pectate lyase,Cellulophaga phage phi4:1,phi4:1,GCF_000910475.1,2889
213707342,INSDC,QMXD01000134.1,1,2884,-,RLG89839.1,hypothetical protein,Candidatus Hecatellales archaeon,,GCA_003661965.1,2884
177827029,RefSeq,NZ_FPLA01000029.1,435078,437894,+,WP_219815815.1,ATP-dependent DNA helicase,Cobetia marina,,GCF_900119965.1,2817
292443082,INSDC,MN855768.1,13391,16135,-,QHJ79422.1,hypothetical protein,Caudoviricetes sp.,,GCA_012637205.1,2745
153981068,RefSeq,NW_019091203.1,168214,171076,-,XP_035711685.1,uncharacterized protein LOC118437029,Folsomia candida,VU population,GCF_002217175.1,2863
321579896,INSDC,LR796364.1,37063,39804,+,CAB4139230.1,Pectate lyase superfamily protein,uncultured Caudovirales phage,,GCA_902985125.1,2742
395837374,RefSeq,NC_061421.1,215902,218649,-,YP_010298938.1,tail protein,Klebsiella phage vB_KpM_FBKp24,,GCF_016811445.1,2748
179326805,INSDC,NZNK01000107.1,1,2809,+,MAM74105.1,double-strand break repair helicase AddA,Tistrella sp.,,GCA_002694845.1,2809
336238042,RefSeq,NC_070869.1,64724,67513,-,YP_010659586.1,tail protein,Escherichia phage vB_EcoP_SP5M,,GCF_013426605.1,2790
315009248,INSDC,JAAYYI010000101.1,6204,8984,-,NLF89380.1,right-handed parallel beta-helix repeat-containing protein,Candidatus Bathyarchaeota archaeon,,GCA_012515445.1,2781
97285236,RefSeq,NZ_LMRS01000060.1,60598,61878,+,WP_056532843.1,right-handed parallel beta-helix repeat-containing protein,Sphingomonas sp. Leaf339,Leaf339,GCF_001426195.1,1281
333392908,INSDC,LR798344.1,31444,32709,-,CAB5225650.1,Pectate lyase superfamily protein,uncultured Caudovirales phage,,GCA_903233125.1,1266
469025777,INSDC,JABARM010000001.1,114581,115762,+,MBV6397739.1,putative ABC transporter binding protein NosD,Ignavibacteria bacterium,,GCA_019187645.1,1182
291877647,RefSeq,NZ_CP047593.1,3694408,3695670,-,WP_160629890.1,glycosyl hydrolase family 28-related protein,Tichowtungia aerotolerans,S-5007,GCF_009905215.1,1263
275341500,INSDC,WBUH01000008.1,134663,135916,-,KAB2915978.1,nitrous oxide reductase family maturation protein NosD,Bacteroidota bacterium,,GCA_008933805.1,1254
306683262,INSDC,DRSA01001243.1,594,1835,-,HHH55350.1,hypothetical protein,Bacteroidota bacterium,,GCA_011371025.1,1242
103167718,INSDC,KU050077.1,48434,49675,-,AMB48646.1,casein kinase isoform1-D-like protein,Glossina pallidipes salivary gland hypertrophy virus,Ethiopian,GCA_003687705.1,1242
556992,RefSeq,NC_003076.8,24282858,24284760,+,NP_200845.1,exonuclease V-like protein,Arabidopsis thaliana,,GCF_000001735.4,1903
207750550,INSDC,DPDG01000053.1,48568,49812,-,HCG25672.1,hypothetical protein,Lentisphaeria bacterium,,GCA_003526375.1,1245
92844760,INSDC,LJUF01000154.1,8033,9280,-,KPK82705.1,hypothetical protein,Phycisphaerae bacterium SM23_33,,GCA_001303665.1,1248
172618889,INSDC,PGYU01000010.1,23415,24662,+,PKL85366.1,nitrous oxide reductase family maturation protein NosD,Ignavibacteriae bacterium HGW-Ignavibacteriae-1,,GCA_002839825.1,1248
187629842,INSDC,MF990902.1,4410,5654,+,AWJ66275.1,nitrous oxide reductase maturation protein,uncultured bacterium,,,1245
235721422,INSDC,SCQV01000318.1,2300,3565,-,TAM97514.1,nitrous oxide reductase family maturation protein NosD,Chitinophagaceae bacterium,,GCA_004299085.1,1266
217829021,INSDC,MK072069.1,12262,13545,+,AYV78030.1,hypothetical protein,Edafosvirus sp.,,GCA_003814065.1,1284
508903711,RefSeq,NZ_CAKLBU010000005.1,132090,133457,+,WP_231425143.1,glycoside hydrolase family 28 protein,Pedobacter sp. Leaf250,,GCF_920984735.1,1368
258131352,RefSeq,NZ_CP151968.1,558746,560029,+,WP_141601688.1,nitrous oxide reductase family maturation protein NosD,Ureibacillus sp. FSL K6-8385,FSL K6-8385,GCF_038593155.1,1284
772158226,RefSeq,NC_084894.1,19375252,19380194,+,XP_062173201.1,"exonuclease V, chloroplastic-like",Alnus glutinosa,,GCF_958979055.1,4943
72557268,RefSeq,NZ_CAWNTA010000115.1,47785,49080,+,WP_040150299.1,hypothetical protein,Photorhabdus hindustanensis,,GCF_963876995.1,1296
49231953,INSDC,MK803322.1,28269,29558,-,QDB70615.1,hypothetical protein,Pseudomonas phage RSP,,GCA_006384655.1,1290
293391957,INSDC,RFWC01000079.1,4588,5928,+,NBT47630.1,hypothetical protein,Actinomycetota bacterium,,GCA_009922275.1,1341
225873514,INSDC,RXJR01000004.1,130786,132057,+,RTL44574.1,hypothetical protein,Candidatus Melainabacteria bacterium,,GCA_003963305.1,1272
117741770,RefSeq,NZ_CP017141.1,1671434,1672699,+,WP_069378615.1,hypothetical protein,Pedobacter steynii,DX4,GCF_001721645.1,1266
