Unnamed: 0,Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP,superkingdom,realm,kingdom,phylum,class,order,family,genus,species,GenomeID,Cluster,Representative_ID,Cluster_Identity,Rep_Synonym_ID,Synonym_Identity,Synomym_E-value,Synonym_Bit-Score,IPG_ID,IPG_Synonym,IPG_len,IPG_Function,eggNOG_Annotation,COG_Category,Reference_GenomeID,IPG_Start,IPG_Stop,IPG_Strand,IPG_Organism,Assembly,Viral_Presence,PHROG_Nr_ORF,Min_Abs_Distance_TP,Mean_Distance_TP,Median_Distance_TP,pPolB,pPolB_distance,Polymerase,Pol_distance
2941,A0A8A7GAE5,,644,8.5,0.981,0.002957,79.0,559,503,0.899821109123435,Klebsiella quasipneumoniae,1463165,AFDB50,FoldSeek,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2942,A0A6G5Y7P8,MN855777,625,10.7,0.933,0.002957,70.0,559,465,0.831842576028623,Bacteriophage sp.,38018,BFVD,FoldSeek,GC1,Viruses,,,,,,,,Bacteriophage sp.,MN855777,1215.0,A0A6G5Y7P8,100.0,QHJ79983.1,100.0,0.0,1645.0,292443595.0,QHJ79983.1,2394.0,hypothetical protein,pathogenesis,S,MN855777.1,14556.0,16949.0,-,Bacteriophage sp.,GCA_012615935.1,,24.0,1.0,0.7083333333333334,0.0,N,,-,
2943,A0A3G9CZQ6,AP017647,119,10.9,1.0,0.002958,122.0,163,115,0.705521472392638,Methanothermobacter sp. MT-2,1898379,AFDB50,FoldSeek,ABV,Archaea,Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter sp. MT-2,AP017647,855.0,A0A3G9CZQ6,100.0,BAW31808.1,100.0,3.01e-113,328.0,131334872.0,BAW31808.1,492.0,CRISPR-associated protein Cas4,Domain of unknown function DUF83,V,AP017647.1,1052860.0,1053351.0,-,Methanothermobacter sp. MT-2,GCA_003584625.1,,220.0,7.0,-345.08181818181816,-396.5,N,,-,
2944,A0A3D0X713,DOYF01000041,142,9.8,1.0,0.002958,102.0,163,135,0.828220858895706,Ruminococcus sp.,41978,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp.,DOYF01000041,757.0,A0A3D0X713,100.0,WP_092976973.1,100.0,7.07e-135,384.0,120612265.0,WP_092976973.1,555.0,CRISPR-associated protein Cas4,Domain of unknown function DUF83,L,NZ_FMUV01000012.1,53843.0,54397.0,+,Ruminococcus sp. YE282,GCF_900101355.1,,14.0,2.0,-25.214285714285715,-29.5,N,,-,
2945,A0A432T6B3,QNZY01000131,142,15.4,1.0,0.002958,109.0,163,135,0.828220858895706,Sulfurovum sp.,1969726,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp.,QNZY01000131,1174.0,A0A432T6B3,100.0,RUM73173.1,100.0,0.0,1439.0,226512109.0,RUM73173.1,2117.0,RecB-like helicase,Belongs to the helicase family. UvrD subfamily,L,QNZY01000131.1,1836.0,3952.0,-,Sulfurovum sp.,GCA_003978355.1,N,,,,,,,,
2946,A0A7V4B0W3,DSWB01000575,230,10.4,1.0,0.002958,109.0,163,140,0.858895705521472,bacterium,1869227,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,,,,,,,bacterium,DSWB01000575,484.0,A0A7V4B0W3,100.0,MEW5946247.1,37.118,7.799999999999999e-42,165.0,881782054.0,MEW5946247.1,3422.0,UvrD-helicase domain-containing protein,,,JBFMFE010000160.1,1.0,3422.0,+,bacterium,GCA_040752295.1,N,,,,,,,,
2947,A0A7K2ZG18,WWKE01000868,214,11.6,1.0,0.002958,106.0,163,145,0.889570552147239,Streptomyces sp. SID2119,2690253,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. SID2119,WWKE01000868,119.0,A0A7K2ZG18,100.0,WP_202546883.1,100.0,0.0,1238.0,291023320.0,WP_202546883.1,1905.0,PD-(D/E)XK nuclease family protein,Belongs to the helicase family. UvrD subfamily,L,NZ_WWKE01000868.1,1.0,1905.0,+,Streptomyces sp. SID2119,GCF_009865505.1,,2.0,3.0,3.5,3.5,N,,-,
2948,A0A4R5AUQ1,SMFM01000002,126,7.9,0.999,0.002958,98.0,163,115,0.705521472392638,Flavobacterium caseinilyticum,2541732,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium caseinilyticum,SMFM01000002,518.0,A0A4R5AUQ1,100.0,WP_131908884.1,100.0,0.0,662.0,238637790.0,WP_131908884.1,969.0,PD-(D/E)XK nuclease-like domain-containing protein,,,NZ_SMFM01000002.1,277011.0,277979.0,+,Flavobacterium caseinilyticum,GCF_004349085.1,,146.0,1.0,113.82876712328768,61.0,N,,-,
2949,A0A0E0TF05,CP002442,126,12.6,0.993,0.002958,86.0,163,122,0.748466257668712,Geobacillus sp. Y412MC52,550542,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Geobacillus,Geobacillus sp. Y412MC52,CP002442,155.0,A0A0E0TF05,100.0,WP_013524395.1,100.0,1.55e-146,415.0,16308203.0,WP_013524395.1,597.0,replication-relaxation family protein,Replication-relaxation,S,NC_014915.1,2967400.0,2967996.0,-,Geobacillus sp. Y412MC52,GCF_000174795.2,,634.0,1.0,-1047.3533123028392,-1023.5,N,,-,
2950,A0A7Y5FSS0,JABWBX010000001,168,18.4,0.993,0.002958,86.0,163,147,0.901840490797546,candidate division KSB1 bacterium,2172550,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,,,,,,Candidatus Zhuqueibacterota bacterium,JABWBX010000001,1874.0,A0A7Y5FSS0,100.0,NUM72790.1,100.0,0.0,760.0,331486942.0,NUM72790.1,1104.0,DUF2800 domain-containing protein,,,JABWBX010000001.1,48733.0,49836.0,+,Candidatus Zhuqueibacterota bacterium,GCA_013359385.1,,29.0,1.0,-40.72413793103448,-46.0,N,,-,
2951,A0A4Q3SV72,,502,9.1,1.0,0.003093,113.0,559,383,0.685152057245081,Chitinophagaceae bacterium,1869212,AFDB50,FoldSeek,GC1,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,,Chitinophagaceae bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,G9L6E4,JQ011317,472,11.4,1.0,0.003093,106.0,559,403,0.720930232558139,Escherichia phage TL-2011b,1124654,BFVD,FoldSeek,GC1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Escherichia phage TL-2011b,JQ011317,1343.0,G9L6E4,100.0,WP_126676993.1,99.57,0.0,1435.0,226748354.0,WP_126676993.1,2094.0,phage tail protein,outer membrane,S,NZ_PNYT01000007.1,101580.0,103673.0,-,Escherichia coli,GCF_003980565.1,,58.0,1.0,16.70689655172414,18.5,N,,-,
2953,A0A4Q5NDZ4,,606,11.5,0.997,0.003093,92.0,559,511,0.914132379248658,bacterium,1869227,AFDB50,FoldSeek,GC1,Bacteria,Bacteria,,,,,,,bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2954,A0A6J5KIL4,LR798202,487,11.7,0.992,0.003093,85.0,559,369,0.660107334525939,uncultured Caudovirales phage,2100421,BFVD,FoldSeek,GC1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,uncultured Caudovirales phage,LR798202,1375.0,A0A6J5KIL4,100.0,CAB4121203.1,100.0,0.0,1353.0,321562593.0,CAB4121203.1,2043.0,Right handed beta helix region,,,LR796144.1,21816.0,23858.0,+,uncultured Caudovirales phage,GCA_902982985.1,,20.0,1.0,-7.5,-12.5,N,,-,
2955,A0A6J5KIL4,LR796144,487,11.7,0.992,0.003093,85.0,559,369,0.660107334525939,uncultured Caudovirales phage,2100421,BFVD,FoldSeek,GC1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,uncultured Caudovirales phage,LR796144,1375.0,A0A6J5KIL4,100.0,CAB4121203.1,100.0,0.0,1353.0,321562593.0,CAB4121203.1,2043.0,Right handed beta helix region,,,LR796144.1,21816.0,23858.0,+,uncultured Caudovirales phage,GCA_902982985.1,,20.0,1.0,-7.5,-12.5,N,,-,
2956,Q5Z5X0,AP014962,482,10.9,0.998,0.003103,93.0,559,378,0.676207513416816,Oryza sativa Japonica Group,39947,AFDB-Proteome,FoldSeek,GC1,Eukaryota,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza sativa,AP014962,170.0,Q5Z5X0,100.0,EAZ01276.1,99.758,0.0,824.0,6857092.0,EAZ01276.1,1346.0,hypothetical protein,Belongs to the glycosyl hydrolase 28 family,G,CM000131.1,21290212.0,21291557.0,-,Oryza sativa Indica Group,GCA_000004655.2,,120.0,7.0,-345.2916666666667,-370.5,N,,-,
2957,Q5Z5X0,AK240647,482,10.9,0.998,0.003103,93.0,559,378,0.676207513416816,Oryza sativa Japonica Group,39947,AFDB-Proteome,FoldSeek,GC1,Eukaryota,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza sativa,AK240647,170.0,Q5Z5X0,100.0,EAZ01276.1,99.758,0.0,824.0,6857092.0,EAZ01276.1,1346.0,hypothetical protein,Belongs to the glycosyl hydrolase 28 family,G,CM000131.1,21290212.0,21291557.0,-,Oryza sativa Indica Group,GCA_000004655.2,,120.0,7.0,-345.2916666666667,-370.5,N,,-,
2958,Q5Z5X0,AK072748,482,10.9,0.998,0.003103,93.0,559,378,0.676207513416816,Oryza sativa Japonica Group,39947,AFDB-Proteome,FoldSeek,GC1,Eukaryota,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza sativa,AK072748,170.0,Q5Z5X0,100.0,EAZ01276.1,99.758,0.0,824.0,6857092.0,EAZ01276.1,1346.0,hypothetical protein,Belongs to the glycosyl hydrolase 28 family,G,CM000131.1,21290212.0,21291557.0,-,Oryza sativa Indica Group,GCA_000004655.2,,120.0,7.0,-345.2916666666667,-370.5,N,,-,
2959,Q5Z5X0,AK240657,482,10.9,0.998,0.003103,93.0,559,378,0.676207513416816,Oryza sativa Japonica Group,39947,AFDB-Proteome,FoldSeek,GC1,Eukaryota,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza sativa,AK240657,170.0,Q5Z5X0,100.0,EAZ01276.1,99.758,0.0,824.0,6857092.0,EAZ01276.1,1346.0,hypothetical protein,Belongs to the glycosyl hydrolase 28 family,G,CM000131.1,21290212.0,21291557.0,-,Oryza sativa Indica Group,GCA_000004655.2,,120.0,7.0,-345.2916666666667,-370.5,N,,-,
2960,A0A6J7WCC6,LR798215,182,15.3,0.998,0.003107,93.0,163,139,0.852760736196319,uncultured Caudovirales phage,2100421,BFVD,FoldSeek,ABV,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,uncultured Caudovirales phage,LR798215,533.0,A0A6J7WCC6,100.0,CAB5195055.1,100.0,0.0,629.0,333428659.0,CAB5195055.1,918.0,"COG5377 Phage-related protein, predicted endonuclease",,,LR798215.1,32316.0,33233.0,-,uncultured Caudovirales phage,GCA_903231835.1,,20.0,1.0,-22.35,-22.0,N,,-,
2961,A0A660WN74,QNCF01000008,109,18.3,1.0,0.003157,110.0,163,94,0.576687116564417,Candidatus Omnitrophica bacterium,2035772,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Candidatus Omnitrophota,,,,,Candidatus Omnitrophota bacterium,QNCF01000008,1540.0,A0A660WN74,100.0,RKY32448.1,100.0,0.0,1692.0,212937439.0,RKY32448.1,2577.0,hypothetical protein,,,QNCF01000008.1,16932.0,19508.0,-,Candidatus Omnitrophota bacterium,GCA_003644395.1,,6.0,1.0,-10.333333333333334,-13.5,N,,-,
2962,A0A7J4V989,RHKR01000399,131,13.7,1.0,0.003157,113.0,163,119,0.730061349693252,Chlorobi bacterium,2268192,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Chlorobiota,,,,,Chlorobiota bacterium,RHKR01000399,1994.0,A0A7J4V989,100.0,GMU89313.1,100.0,0.0,1211.0,900722507.0,GMU89313.1,3711.0,hypothetical protein,,,BTUW01000009.1,15729.0,19439.0,-,Chlorobiota bacterium,GCA_045863055.1,,18.0,1.0,42.388888888888886,42.0,N,,-,
2963,A0A552VBB5,VJXW01000004,152,15.1,1.0,0.003157,102.0,163,129,0.791411042944785,Criibacterium bergeronii,1871336,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Criibacterium,Criibacterium bergeronii,VJXW01000004,1496.0,A0A552VBB5,100.0,WP_144015834.1,100.0,0.0,2296.0,260584267.0,WP_144015834.1,3450.0,helicase-exonuclease AddAB subunit AddA,ATP-dependent helicase nuclease subunit A,L,NZ_VJXW01000004.1,118861.0,122310.0,-,Criibacterium bergeronii,GCF_007097085.1,,31.0,2.0,-26.580645161290324,-31.0,N,,-,
2964,A0A1F3X0Y1,MEQM01000011,181,7.1,1.0,0.003157,120.0,163,144,0.883435582822086,Betaproteobacteria bacterium RBG_16_56_24,1797475,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,,,,Betaproteobacteria bacterium RBG_16_56_24,MEQM01000011,1948.0,A0A1F3X0Y1,100.0,OFZ69082.1,100.0,0.0,1120.0,121043951.0,OFZ69082.1,1656.0,hypothetical protein,YqaJ-like viral recombinase domain,L,MEQM01000011.1,10826.0,12481.0,+,Betaproteobacteria bacterium RBG_16_56_24,GCA_001771895.1,,6.0,1.0,-8.0,-9.5,N,,-,
2965,A0A2M7R4W7,PFLU01000039,163,9.8,0.999,0.003157,99.0,163,122,0.748466257668712,Nitrospirae bacterium CG_4_10_14_0_8_um_filter_41_23,1974051,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Nitrospirota,,,,,Nitrospirae bacterium CG_4_10_14_0_8_um_filter_41_23,PFLU01000039,663.0,A0A2M7R4W7,100.0,PIY87524.1,100.0,2.07e-119,344.0,170443288.0,PIY87524.1,531.0,hypothetical protein,Type I restriction enzyme R protein N terminus (HSDR_N),S,PFLU01000039.1,4900.0,5430.0,-,Nitrospirae bacterium CG_4_10_14_0_8_um_filter_41_23,GCA_002785245.1,,2.0,7.0,8.5,8.5,N,,-,
2966,A0A2N5KRJ3,PJQH01000213,158,13.9,0.996,0.003157,89.0,163,134,0.822085889570552,Actinomycetia bacterium,1883427,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Bacillati,Actinomycetota,Actinomycetes,,,,Actinomycetes bacterium,PJQH01000213,779.0,A0A2N5KRJ3,100.0,PLS86315.1,100.0,3.61e-115,333.0,174414244.0,PLS86315.1,498.0,CRISPR-associated protein Cas4,Domain of unknown function DUF83,L,PJQH01000213.1,2617.0,3114.0,+,Actinomycetota bacterium,GCA_002861635.1,N,,,,,,,,
2967,A0A8D4KEG2,MG752970,444,11.4,1.0,0.003235,113.0,559,322,0.57602862254025,Ralstonia phage RsoM2USA,2070027,BFVD,FoldSeek,GC1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Ralstonia phage RsoM2USA,MG752970,260.0,A0A8D4KEG2,100.0,AVH85344.1,100.0,0.0,2420.0,180398942.0,AVH85344.1,3774.0,hypothetical protein,,,MG752970.1,285114.0,288887.0,+,Ralstonia phage RsoM2USA,GCA_018603535.1,,123.0,6.0,-165.26829268292684,-182.0,N,,-,
2968,A0A7C5ZZB0,DTFX01000089,473,10.1,1.0,0.003235,111.0,559,378,0.676207513416816,Candidatus Bathyarchaeota archaeon,2026714,AFDB50,FoldSeek,GC1,Archaea,Archaea,Thermoproteati,Candidatus Bathyarchaeota,,,,,Candidatus Bathyarchaeota archaeon,DTFX01000089,1741.0,A0A7C5ZZB0,100.0,MEM2929863.1,91.304,0.0,833.0,837946820.0,MEM2929863.1,1314.0,glycosyl hydrolase family 28 protein,Belongs to the glycosyl hydrolase 28 family,G,JAWCMB010000011.1,14993.0,16306.0,+,Thermoproteota archaeon,GCA_038850115.1,,5.0,3.0,0.0,-3.0,N,,-,
2969,A0A5C8DM70,SSHF01000013,491,10.9,1.0,0.003235,103.0,559,379,0.677996422182469,Chitinophagaceae bacterium,1869212,AFDB50,FoldSeek,GC1,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,,Chitinophagaceae bacterium,SSHF01000013,1756.0,A0A5C8DM70,100.0,TXJ26053.1,100.0,0.0,910.0,267937002.0,TXJ26053.1,1335.0,glycoside hydrolase family 28 protein,PFAM glycoside hydrolase family 28,G,SSHF01000013.1,157292.0,158626.0,-,Chitinophagaceae bacterium,GCA_008017335.1,,58.0,1.0,46.91379310344828,51.5,N,,-,
2970,W4UVT7,BAIV01000021,508,8.4,1.0,0.003235,104.0,559,384,0.686940966010733,Bacteroides reticulotermitis JCM 10512,1445607,AFDB50,FoldSeek,GC1,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides reticulotermitis,BAIV01000021,244.0,A0A1V5MQJ2,66.4,OPZ95543.1,100.0,0.0,1118.0,141534802.0,OPZ95543.1,1611.0,Polygalacturonase,Belongs to the glycosyl hydrolase 28 family,G,MWAL01000503.1,6.0,1616.0,+,Bacteroidetes bacterium ADurb.Bin416,GCA_002069345.1,N,,,,,,,,
2971,A0A420X798,,508,12.7,0.988,0.003235,82.0,559,440,0.787119856887299,Leifsonia sp. OV430,2135466,AFDB50,FoldSeek,GC1,Bacteria,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia sp. OV430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,Q54KA8,AAFI02000101,496,9.8,0.991,0.003245,84.0,559,353,0.631484794275492,Dictyostelium discoideum,44689,AFDB-Proteome,FoldSeek,GC1,Eukaryota,Eukaryota,,Evosea,Eumycetozoa,Dictyosteliales,Dictyosteliaceae,Dictyostelium,Dictyostelium discoideum,AAFI02000101,1273.0,Q54KA8,100.0,XP_637213.1,100.0,0.0,1278.0,4086711.0,XP_637213.1,1944.0,hypothetical protein,-,-,NC_007091.3,314532.0,316475.0,-,Dictyostelium discoideum AX4,GCF_000004695.1,,94.0,5.0,738.5744680851063,730.5,N,,-,
2973,I1J6I6,CM000834,464,12.0,0.981,0.003245,79.0,559,386,0.690518783542039,Glycine max,3847,AFDB-Proteome,FoldSeek,GC1,Eukaryota,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Glycine max,CM000834,1861.0,I1J6I6,100.0,KAG5068532.1,100.0,0.0,776.0,417867436.0,KAG5068532.1,6050.0,hypothetical protein,Polygalacturonase-like,G,CM024913.1,22137454.0,22143503.0,+,Glycine max,GCA_014282095.1,,56.0,13.0,-152.625,-211.5,N,,-,
2974,V5LMP6,KF481685,160,12.5,0.997,0.003316,91.0,163,126,0.773006134969325,Emiliania huxleyi virus 18,1421424,BFVD,FoldSeek,ABV,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Coccolithovirus,Emiliania huxleyi virus 18,KF481685,1705.0,V5LMP6,100.0,YP_293822.1,90.261,0.0,805.0,4621821.0,YP_293822.1,1320.0,hypothetical protein,,,NC_007346.1,71685.0,73004.0,-,Emiliania huxleyi virus 86,GCF_000865825.1,,39.0,2.0,191.97435897435892,222.0,N,,-,
2975,A0A1B0XU98,KU886272,185,9.1,0.991,0.003316,84.0,163,139,0.852760736196319,Freshwater phage uvFW-CGR-AMD-COM-C449,1838155,BFVD,FoldSeek,ABV,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Freshwater phage uvFW-CGR-AMD-COM-C449,KU886272,497.0,A0A1B0XU98,100.0,ANH49475.1,100.0,0.0,656.0,110821920.0,ANH49475.1,957.0,YqaJ-like viral recombinase,,,KU886272.1,36718.0,37674.0,-,Freshwater phage uvFW-CGR-AMD-COM-C449,GCA_002609905.1,,16.0,1.0,-19.375,-10.5,N,,-,
2976,A0A2U7NBU5,KY971610,138,15.2,0.956,0.003316,73.0,163,128,0.785276073619632,Pseudomonas phage PspYZU05,1983556,BFVD,FoldSeek,ABV,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Straboviridae,Jiangsuvirus,Jiangsuvirus pspyzu05,KY971610,1025.0,A0A2U7NBU5,100.0,YP_010090598.1,100.0,1.09e-146,415.0,152935503.0,YP_010090598.1,600.0,endonuclease,-,-,NC_055720.1,90315.0,90914.0,+,Pseudomonas phage PspYZU05,GCF_003226635.1,,124.0,1.0,-11.42741935483871,-7.5,N,,-,
2977,A0A4V3XJZ4,SRSF01000013,89,16.8,1.0,0.00337,121.0,163,88,0.539877300613497,Neolewinella litorea,2562452,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae,Neolewinella,Neolewinella litorea,SRSF01000013,880.0,A0A4V3XJZ4,100.0,WP_136460514.1,100.0,1.93e-99,291.0,245165584.0,WP_136460514.1,426.0,Dna2/Cas4 domain-containing protein,"SPTR CRISPR-associated exonuclease, Cas4 family",L,NZ_SRSF01000013.1,283.0,708.0,+,Neolewinella litorea,GCF_004803465.1,,10.0,1.0,37.0,42.0,N,,-,
2978,A0A0F5PJ05,ABXP02000122,103,10.6,1.0,0.00337,105.0,163,102,0.625766871165644,Caldanaerobacter subterraneus subsp. pacificus DSM 12653,391606,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Caldanaerobacter subterraneus,ABXP02000122,814.0,A0A0F5PJ05,100.0,KKC28638.1,100.0,2.66e-75,228.0,80220954.0,KKC28638.1,339.0,endonuclease,CRISPR-associated protein Cas4,L,ABXP02000122.1,52599.0,52937.0,-,Caldanaerobacter subterraneus subsp. pacificus DSM 12653,GCA_000156275.2,,3.0,17.0,-23.33333333333333,-43.0,N,,-,
2979,A0A5D2H8B9,CM017690,244,10.6,1.0,0.00337,126.0,163,131,0.803680981595092,Gossypium darwinii,34276,AFDB50,FoldSeek,ABV,Eukaryota,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium darwinii,CM017690,1884.0,A0A5D2H8B9,100.0,XP_040957019.1,98.942,0.0,779.0,446783484.0,XP_040957019.1,4208.0,"exonuclease V, chloroplastic isoform X1",Exonuclease V,F,NC_053426.1,106856749.0,106860956.0,+,Gossypium hirsutum,GCF_007990345.1,,65.0,90.0,68.8,94.0,N,,-,
2980,A0A7C6M4L0,DUOZ01000080,139,14.3,1.0,0.00337,104.0,163,133,0.815950920245399,bacterium,1869227,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,,,,,,,bacterium,DUOZ01000080,1427.0,A0A7C6M4L0,100.0,HHU28384.1,100.0,0.0,2078.0,318697978.0,HHU28384.1,3150.0,UvrD-helicase domain-containing protein,,,DUOZ01000080.1,1771.0,4920.0,+,bacterium,GCA_012838555.1,,1.0,1.0,1.0,1.0,N,,-,
2981,A0A1F5UUQ4,MFGX01000070,123,13.8,0.999,0.00337,96.0,163,122,0.748466257668712,Candidatus Fraserbacteria bacterium RBG_16_55_9,1817864,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,,Candidatus Fraseribacteriota,,,,,Candidatus Fraserbacteria bacterium RBG_16_55_9,MFGX01000070,795.0,A0A1F5UUQ4,100.0,OGF54886.1,100.0,3.62e-91,270.0,121417322.0,OGF54886.1,411.0,CRISPR-associated protein Cas4,Domain of unknown function DUF83,L,MFGX01000070.1,3.0,413.0,+,Candidatus Fraserbacteria bacterium RBG_16_55_9,GCA_001778455.1,,3.0,1.0,2.6666666666666665,3.0,N,,-,
2982,A0A151F7D8,LSSB01000084,218,10.5,0.993,0.00337,86.0,163,146,0.895705521472393,Theionarchaea archaeon DG-70,1803813,AFDB50,FoldSeek,ABV,Archaea,Archaea,Methanobacteriati,Methanobacteriota,Theionarchaea,,,,Theionarchaea archaeon DG-70,LSSB01000084,462.0,A0A151F7D8,100.0,KYK36756.1,100.0,0.0,597.0,106046557.0,KYK36756.1,867.0,hypothetical protein,,,LSSB01000084.1,38707.0,39573.0,-,Theionarchaea archaeon DG-70,GCA_001595795.1,,8.0,2.0,-16.75,-18.0,N,,-,
2983,A0A838J999,JACCWO010000698,143,15.3,0.961,0.00337,74.0,163,143,0.877300613496933,Ktedonobacteraceae bacterium,2740538,AFDB50,FoldSeek,ABV,Bacteria,Bacteria,Bacillati,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,Ktedonobacteraceae bacterium,JACCWO010000698,688.0,A0A838J999,100.0,MBA2679602.1,100.0,6.69e-130,371.0,343202850.0,MBA2679602.1,543.0,DUF559 domain-containing protein,Evidence 4 Homologs of previously reported genes of,K,JACCWO010000698.1,3825.0,4367.0,+,Ktedonobacteraceae bacterium,GCA_013697605.1,,1.0,2.0,-2.0,-2.0,N,,-,
2984,A0A7S2ZV13,HBHW01026396,435,11.0,1.0,0.003384,110.0,559,387,0.692307692307692,Rhodosorus marinus,101924,AFDB50,FoldSeek,GC1,Eukaryota,Eukaryota,,Rhodophyta,Stylonematophyceae,Stylonematales,Stylonemataceae,Rhodosorus,Rhodosorus marinus,HBHW01026396,1865.0,A0A7S2ZV13,100.0,KAJ8903426.1,82.507,0.0,650.0,651690496.0,KAJ8903426.1,1155.0,hypothetical protein,,,JAMWBK010000007.1,1167840.0,1168994.0,-,Rhodosorus marinus,GCA_029953675.1,,42.0,4.0,57.90476190476191,87.5,N,,-,
2985,A0A1D2XDZ8,MDLD01000059,487,11.9,1.0,0.003384,126.0,559,427,0.76386404293381,Endozoicomonas sp. (ex Bugula neritina AB1),1868284,AFDB50,FoldSeek,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas sp. (ex Bugula neritina AB1),MDLD01000059,1846.0,A0A1D2XDZ8,100.0,OED50462.1,100.0,0.0,762.0,118644975.0,OED50462.1,1164.0,hypothetical protein,,,MDLD01000059.1,3953.0,5116.0,+,Endozoicomonas sp. (ex Bugula neritina AB1),GCA_001729985.1,,1.0,4.0,-4.0,-4.0,N,,-,
